student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
28757,1,1,1,1,1,1,0,1,1,1
39630,1,1,1,1,1,1,0,1,1,1
39992,1,1,0,1,0,1,0,0,1,1
39888,1,1,1,1,0,1,0,1,1,1
8384,0,1,1,1,0,1,1,1,0,1
8353,1,1,1,1,0,1,1,1,1,1
8143,1,0,1,1,1,1,1,1,1,1
54128,1,1,1,1,0,1,0,1,1,1
4865,1,1,1,1,1,1,0,1,1,1
55871,0,1,1,1,0,1,1,0,1,1
28770,1,1,1,1,0,1,0,1,1,0
54035,1,1,1,1,0,1,0,0,0,1
54609,1,0,1,1,0,1,0,0,0,1
8387,0,1,1,1,0,0,1,0,0,0
54782,1,1,1,1,0,1,1,0,1,1
8388,1,1,1,0,0,1,1,1,1,1
54586,0,0,0,1,0,0,0,0,0,1
37335,1,1,1,1,0,1,0,1,1,1
8334,1,1,1,1,0,1,0,1,1,1
37457,1,1,1,1,1,0,0,0,0,1
8076,0,1,1,1,0,1,1,0,0,1
37868,1,1,1,1,1,1,1,1,1,1
37756,1,1,1,1,1,1,0,1,1,1
55873,1,1,1,1,0,1,0,0,1,1
37337,1,1,1,1,0,0,1,0,1,0
37435,1,1,1,1,1,0,1,0,1,1
8019,1,0,1,1,0,1,0,1,1,1
38077,0,1,1,1,1,1,1,0,1,1
8128,0,1,1,0,0,1,0,1,1,0
37433,1,1,1,1,0,1,0,1,1,1
8247,1,1,1,0,0,1,1,1,0,1
37758,1,1,1,1,0,1,0,0,1,1
5752,1,1,1,1,1,1,0,1,1,1
28771,1,1,1,1,0,0,0,0,0,1
38484,0,0,1,0,0,1,0,0,0,1
54041,0,1,1,1,0,0,0,0,1,1
57897,0,0,0,0,1,0,0,0,1,1
28779,1,1,1,1,0,1,0,1,1,1
28630,1,1,1,1,0,1,0,0,1,1
6110,1,1,1,1,1,1,0,1,1,1
56487,1,1,1,1,1,1,0,1,1,1
5992,1,1,1,1,1,1,0,1,1,1
6039,1,1,1,1,1,1,0,1,1,1
6145,1,1,1,1,1,1,0,1,1,1
6113,1,1,1,1,1,1,0,1,1,1
6065,1,1,1,1,1,1,0,1,1,1
56496,1,1,1,1,1,1,0,1,1,1
8188,0,0,1,0,0,0,0,0,0,0
8389,1,1,1,1,0,1,1,0,1,1
6045,1,1,1,1,1,1,0,1,1,1
4917,1,0,1,0,0,1,0,0,1,1
56157,1,1,1,1,0,1,0,1,1,1
54599,1,1,1,1,0,1,1,0,1,1
56161,0,0,1,1,0,1,0,0,0,1
28684,0,0,1,1,1,0,0,0,0,1
28653,1,1,1,1,0,1,0,0,1,1
28633,1,1,1,1,1,1,1,1,1,1
39320,1,1,1,1,0,0,0,0,1,1
39535,1,0,0,1,0,1,1,1,1,1
28776,1,1,1,1,1,1,1,1,1,1
6014,1,1,1,1,1,1,0,1,1,1
6137,1,1,1,1,1,1,0,1,1,1
6070,1,1,1,1,1,1,0,1,1,1
55367,1,1,1,1,0,1,0,1,1,1
4714,1,1,1,0,0,0,0,1,0,1
4764,1,0,1,1,0,0,0,1,0,0
4867,1,0,1,0,0,0,0,1,1,1
4847,1,1,1,1,1,1,0,1,1,1
4811,1,0,1,1,0,0,1,1,0,1
5962,1,1,1,1,1,1,0,1,1,1
4789,1,1,1,1,0,0,0,1,1,1
5958,1,1,1,1,1,1,0,1,1,1
6122,1,1,1,1,1,1,0,1,1,1
4757,0,0,1,1,0,0,0,0,1,0
8300,0,0,1,1,0,0,0,0,1,1
4545,0,0,0,0,0,0,0,0,0,1
54564,1,1,1,1,0,1,1,1,1,1
4920,0,0,0,0,0,0,0,0,0,1
28792,0,1,1,1,1,0,1,0,0,1
38092,1,1,1,1,0,1,1,1,1,1
37670,1,1,1,1,0,1,1,1,1,1
37786,0,1,1,1,0,0,0,1,1,1
37569,1,1,1,1,0,1,0,1,1,0
37352,1,1,1,1,0,1,0,0,0,1
55224,1,1,1,1,1,1,1,1,1,1
55204,1,0,1,1,1,1,1,1,1,1
38091,1,1,1,1,1,1,1,1,0,1
38880,1,1,1,1,0,1,1,1,1,1
37914,1,1,1,1,0,1,1,1,1,1
37918,1,1,1,1,0,1,0,1,1,1
37801,1,1,1,1,0,1,1,1,1,1
53221,1,1,1,1,0,0,0,0,1,0
37757,0,1,1,1,1,1,0,1,1,1
43607,1,1,1,1,0,1,1,1,1,1
37867,1,1,1,1,0,1,1,0,1,1
37541,1,1,1,1,1,1,1,1,1,1
37456,1,1,1,1,0,0,1,0,0,0
38078,1,1,1,1,0,1,0,0,0,1
37542,1,1,1,1,0,1,0,1,1,1
37434,1,0,0,0,1,1,0,1,1,0
37785,0,1,1,1,0,0,1,1,0,1
37671,0,1,1,1,0,1,0,1,1,1
37894,0,1,1,1,0,1,1,1,0,1
37365,0,0,1,1,0,1,0,1,1,0
37568,1,1,1,0,0,1,1,0,1,0
5607,1,1,1,1,0,1,0,1,1,1
37672,1,1,1,1,1,1,0,1,1,1
38882,1,1,1,1,0,1,1,1,1,1
37669,1,1,1,1,0,1,1,0,1,1
8916,1,1,1,1,1,1,0,1,0,1
8876,1,1,1,1,0,1,0,1,0,1
56666,1,1,1,1,0,1,0,1,0,1
8830,1,1,1,1,0,1,0,1,0,1
8848,1,0,1,0,0,1,0,1,0,0
8877,1,1,1,1,0,1,0,1,0,1
56676,1,1,1,1,0,1,1,1,0,0
8855,1,1,1,1,0,1,0,1,0,1
4585,1,1,1,1,0,1,0,1,1,1
4790,1,1,1,1,1,1,1,1,1,1
4593,1,1,1,1,0,1,0,1,1,1
4809,0,0,0,1,0,1,1,0,0,1
4718,1,0,1,1,0,0,0,0,0,1
4533,0,0,1,0,0,1,1,0,1,1
8917,1,1,1,1,0,0,0,0,1,1
8627,1,1,1,0,1,1,0,0,1,1
8895,1,1,1,1,0,1,0,0,1,0
8854,1,1,1,1,0,1,0,0,1,1
8902,1,0,1,1,0,1,0,1,1,0
8809,1,1,1,1,0,1,0,1,0,1
8751,1,1,1,1,0,1,0,1,0,1
8835,1,1,1,1,1,0,0,0,0,0
489,1,0,1,1,1,1,0,1,0,1
8893,1,1,1,1,0,1,0,1,0,1
4919,0,1,1,1,0,0,1,0,1,1
4756,1,1,1,1,1,1,0,1,0,1
4655,1,1,1,1,0,1,0,1,1,1
4929,0,1,1,0,0,1,0,0,0,1
4712,1,1,1,1,0,1,1,1,0,1
4524,1,1,1,1,0,1,1,1,1,1
4864,1,0,1,1,0,1,0,1,0,1
4868,1,1,1,1,0,0,0,1,0,1
57029,0,0,1,1,0,0,0,0,1,0
4650,1,1,1,1,0,1,1,0,1,1
55218,1,1,1,1,0,1,1,0,1,1
12756,1,1,1,1,0,0,0,0,1,1
55339,1,1,1,1,0,1,0,1,1,1
4925,1,1,1,1,0,1,1,1,0,0
44043,1,1,1,1,0,1,1,0,1,1
4590,1,1,1,1,0,1,0,1,1,1
44981,1,1,1,1,1,0,0,1,1,1
4862,0,0,0,0,0,0,0,0,1,0
4534,1,1,1,1,0,1,0,1,1,1
4713,1,1,1,1,0,1,0,1,1,1
4846,1,0,1,1,0,1,0,0,1,1
55186,1,1,1,0,0,0,1,1,1,0
4765,1,1,1,1,1,1,1,1,1,1
55335,1,1,1,1,0,1,1,0,1,1
55321,1,1,1,1,1,0,0,0,0,0
7898,1,0,0,1,0,1,0,1,0,1
8791,1,1,1,1,0,1,0,1,0,1
38847,1,1,1,1,0,1,0,1,0,1
8846,1,0,1,0,0,1,0,0,0,0
8752,1,1,1,1,0,0,0,0,0,0
8749,0,1,1,0,0,0,0,0,1,0
2869,1,1,1,1,0,1,0,1,1,1
56404,1,1,1,1,0,1,0,0,1,1
8897,1,1,1,1,0,0,0,1,0,1
38883,1,1,1,1,0,1,0,0,1,0
38846,1,1,1,1,0,0,0,0,1,1
38707,1,1,1,1,0,1,0,0,1,1
5308,1,0,0,0,0,0,0,1,0,1
37368,1,1,1,1,0,0,1,1,1,1
55309,1,1,1,1,0,0,1,1,0,1
2950,1,1,1,1,0,1,0,1,1,1
